"Period","Product Name","Quantity Ordered","Product Sku"
"04/2019","Psycho Bunny Nicotine Shot VG Base","47","PSDIYVG18"
"04/2019","R Dainty's Premium Apple &amp; Mango 10ml-6mg","45","DAPGAM06"
"04/2019","Dripping Range Heizen Blue Flavour MAX VG 50ml-50ml 0mg","38","DRVGHB0"
"04/2019","R Dainty's Premium Apple &amp; Mango 10ml-3mg","34","DAPGAM03"
"04/2019","Psycho Bunny Double Ice Nicotine Shot","32","PSDIYDICE18"
"04/2019","Dainty's Apple &amp; Mango Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","29","DAVGAM60VG3"
"04/2019","Dainty's Heisenberg 10ml-12mg","26","DAPGHB12"
"04/2019","R Dainty's Premium RY4 Tobacco 10ml-6mg","25","DAPGRY06"
"04/2019","Dainty's Blue Slush 10ml-6mg","23","DAPGBS06"
"04/2019","Dainty's Cherry Menthol Flavour MAX VG 50ml-50ml 0mg","22","DAVGCM00"
"04/2019","Dainty's Blue Slush 10ml-3mg","22","DAPGBS03"
"04/2019","R Dainty's Premium RY4 Tobacco 10ml-12mg","21","DAPGRY12"
"04/2019","Eco Vape Premium Rolling Tobacco V2 Flavour-3mg","20","PRPGRO3"
"04/2019","Dainty's Aniseed 10ml-3mg","20","DAPGAN03"
"04/2019","Dripping Range Killa Custard V2 Flavour 50/50-12mg","18","DRPGKI12"
"04/2019","Dainty's Cherry Menthol Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","18","DAVGCM60VG3"
"04/2019","Psycho Bunny Nicotine Shot PG Base","17","PSDIYPG18"
"04/2019","R Dainty's Premium Coffee 10ml-12mg","17","DAPGCO12"
"04/2019","Dainty's Heisenberg 10ml-18mg","16","DAPGHB18"
"04/2019","Eco Vape Premium Gold Tobacco V2 Flavour-12mg","16","PRPGGO12"
"04/2019","Dainty's Premium Menthol 50/50 80ML-80ml 0mg","16","DAPGMT0"
"04/2019","Eco Vape Premium Fruit Salad V2 Flavour-12mg","16","PRPGFR12"
"04/2019","Eco Vape Premium Fruit Salad V2 Flavour-6mg","14","PRPGFR6"
"04/2019","Dainty's Premium Blueberry Blackcurrant Menthol 50/50 80ML-80ml 0mg","14","DAPGBBM0"
"04/2019","Dainty's Premium Pink Lemonade 50/50 80ML-100ml 3.6mg inc VG Nicshot","14","DAPGPL10036VG"
"04/2019","Eco Vape Premium Rolling Tobacco V2 Flavour-6mg","14","PRPGRO6"
"04/2019","R Dainty's Premium Tutti Fruity 10ml-12mg","13","DAPGTF12"
"04/2019","Dainty's Raspberry Sherbet 50ml-50ml 0mg","13","DAVGRS00"
"04/2019","Dainty's Aniseed 10ml-6mg","13","DAPGAN06"
"04/2019","R Dainty's Premium Foam Banana 10ml-3mg","13","DAPGFB03"
"04/2019","Dainty's Blue Slush 10ml-12mg","13","DAPGBS12"
"04/2019","Psycho Bunny Ice Nicotine Shot","12","PSDIYICE18"
"04/2019","Dainty's Heisenberg 10ml-6mg","12","DAPGHB06"
"04/2019","Eco Vape Premium Sweet Cherry V2 Flavour-18mg","11","PRPGSC18"
"04/2019","Dainty's Heizenberg Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","11","DAPGHE60PG3"
"04/2019","R Dainty's Premium Fruit Salad 10ml-6mg","11","DAPGFS06"
"04/2019","Dainty's Jelly Babies 10ml-6mg","11","DAPGJB06"
"04/2019","Dainty's Special Menthol 10ml-6mg","11","DAPGSM06"
"04/2019","Dainty's Premium Pink Lemonade 50/50 80ML-80ml 0mg","11","DAPGPL0"
"04/2019","Dainty's Special Menthol 10ml-3mg","10","DAPGSM03"
"04/2019","R Dainty's Premium Blackcurrant Menthol-6mg","10","DAPGBM06"
"04/2019","Dainty's Premium Red Air 50/50 80ML-100ml 3.6mg inc VG Nicshot","10","DAPGRA10036VG"
"04/2019","Dainty's Premium Heizenberg 50/50 80ML-90ml 2mg inc VG Nicshot","10","DAPGHB902VG"
"04/2019","R Dainty's Premium Ice Mint 10ml-12mg","10","DAPGIM12"
"04/2019","R Dainty's Premium Tutti Fruity 10ml-3mg","10","DAPGTF03"
"04/2019","Award Winning Eco Vape Milfsmilk V2 Flavour MAX VG 50ml-50ml 0mg","10","MILFSMILKMAXVG50ML-50ml 0mg"
"04/2019","R Dainty's Premium Cherry Cola 10ml-3mg","10","DAPGCC03"
"04/2019","Dainty's Bubblegum Blast 50ml-50ml 0mg","9","DAVGBB00"
"04/2019","R Dainty's Premium Key Lime Pie 10ml-3mg","9","DAPGKP03"
"04/2019","Dainty's Premium Red Air 50/50 80ML-80ml 0mg","9","DAPGRA0"
"04/2019","Dainty's Premium Blueberry Blackcurrant Menthol 50/50 80ML-100ml 3.6mg inc VG Nicshot","9","DAPGBBM10036VG"
"04/2019","R Dainty's Premium Blackcurrant 10ml-3mg","9","DAPGBL03"
"04/2019","Dainty's Premium Grape &amp; Blackcurrant 50/50 80ML-80ml 0mg","9","DAPGGB0"
"04/2019","Dainty's Apple 10ml-3mg","8","DAPGAP03"
"04/2019","Dainty's Premium Ice Mint 50/50 80ML-80ml 0mg","8","DAPGIM0"
"04/2019","Eco Vape Premium Ice Mint Flavour-12mg","8","PRPGIC12"
"04/2019","Dainty's Premium Blueberry Blackcurrant Menthol 50/50 80ML-90ml 2mg inc PG Nicshot","8","DAPGBBM902PG"
"04/2019","Dripping Range Blue Slush Flavour 50/50-6mg","8","DRPGBS6"
"04/2019","Dainty's Premium Ice Mint 50/50 80ML-100ml 3.6mg inc PG Nicshot","8","DAPGIM10036PG"
"04/2019","Dainty's Special Menthol Flavours MAX VG 50ml-50ml 0mg","8","DAVGSM00"
"04/2019","Dripping Range Vampire Astaire Flavour 50/50-12mg","8","DRVAMPIR5050-12mg"
"04/2019","R Dainty's Premium Banana 10ml-3mg","7","DAPGBA03"
"04/2019","Award Winning Eco Vape Milfsmilk V2 Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","7","MILFSMILKMAXVG50ML-60ml 3mg inc VG Nicshot"
"04/2019","R Dainty's Premium Cola 10ml-3mg","7","DAPGC03"
"04/2019","Dainty's Premium Blueberry Blackcurrant Menthol 50/50 80ML-90ml 2mg inc VG Nicshot","7","DAPGBBM902VG"
"04/2019","R Dainty's Premium Vanilla Ice Cream 10ml-12mg","7","DAPGVBI12"
"04/2019","Eco Vape Milfman V2 Milkshake Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","7","MILFMANMAXVG50ML-60ml 3mg inc VG Nicshot"
"04/2019","Dainty's Raspberry 10ml-6mg","7","DAPGRS06"
"04/2019","R Dainty's Premium Pink Lemonade 10ml-3mg","7","DAPGPL03"
"04/2019","Eco Vape Premium Gold Tobacco V2 Flavour-6mg","7","PRPGGO6"
"04/2019","Eco Vape Premium Fruit Salad V2 Flavour-18mg","7","PRPGFR18"
"04/2019","Dainty's Heizenberg Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","7","DAVGHE60VG3"
"04/2019","Dripping Range Zombie Astaire Flavour 50/50-3mg","6","DRPGZO3"
"04/2019","Dainty's Blueberry Pancake 50ml-50ml 0mg","6","DAVGBP00"
"04/2019","Efest IMR 26650 4200mAh 50A Flat Top Battery","6","HWACEF26650"
"04/2019","Dainty's Cherry Lemonade Flavour MAX VG 50ml-50ml 0mg","6","DAVGCL00"
"04/2019","Dainty's Grapefruit 10ml-12mg","6","DAPGGF12"
"04/2019","Dripping Range Green Slush V2 Flavour 50/50-6mg","6","DRGREENSLUSH5050-6mg"
"04/2019","R Dainty's Premium Grape &amp; Blackcurrant 10ml-3mg","6","DAPGGB03"
"04/2019","Dainty's Premium Red Air 50/50 80ML-90ml 2mg inc PG Nicshot","6","DAPGRA902PG"
"04/2019","R Dainty's Premium Menthol 10ml-12mg","6","DAPGMT12"
"04/2019","R Dainty's Premium Irish Cream 10ml-12mg","6","DAPGIC12"
"04/2019","R Dainty's Premium Fruit Salad 10ml-12mg","5","DAPGFS12"
"04/2019","Dainty's Premium Red Air 70/30 50ML-50ml 0mg","5","DAVGRA00"
"04/2019","Vaptio Coils-Vaptio Coil (0.25Ω)","5","HWCOVA025"
"04/2019","Vaptio Paragon Coils-Vaptio Paragon Strip Coil (0.15Ω)","5","HWCOVAPAR15"
"04/2019","R Dainty's Premium Fruit Salad 10ml-3mg","5","DAPGFS03"
"04/2019","R Dainty's Premium Pink Lemonade 10ml-12mg","5","DAPGPL12"
"04/2019","Dainty's Raspberry 10ml-3mg","5","DAPGRS03"
"04/2019","Dainty's Strawberry Cheesecake 10ml-12mg","5","DAPGSC12"
"04/2019","Dainty's Nic Salts Pink Lemonade 10ml-6mg","5","NSDAPGPL06"
"04/2019","Dainty's Special Menthol Flavours MAX VG 50ml-60ml 3mg inc PG Nicshot","5","DAPGSM60PG3"
"04/2019","Dainty's Fresh Orange 10ml-6mg","5","DAPGFO06"
"04/2019","Dripping Range Blueberg Flavour 50/50-3mg","5","DRBLUEBERG5050-3mg"
"04/2019","Dainty's Cherry Lemonade Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","5","DAVGCL60VG3"
"04/2019","R Dainty's Premium Orange 10ml-3mg","5","DAPGOR03"
"04/2019","Dainty's Heisenberg 10ml-3mg","5","DAPGHB03"
"04/2019","Dripping Range Vampire Astaire Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","5","DRVGVAPG3"
"04/2019","R Dainty's Premium Orange 10ml-12mg","4","DAPGOR12"
"04/2019","Dainty's Banana Cake Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","4","DAVGBC60VG3"
"04/2019","Samsung  30Q INR18650 3000mAh Battery","4","HWACSAM30Q"
"04/2019","Eco Vape Banana Milkshake V2 Flavour MAX VG 50ml-50ml 0mg","4","BANMILKV2MAXVG50ML-50ml 0mg"
"04/2019","Eco Vape Premium Tutti Fruity V2 Flavour-18mg","4","PRPGTU18"
"04/2019","Dainty's Cookie 10ml-3mg","4","DAPGCK03"
"04/2019","Rincoe Ceto Replacement Pod-Pod system","4","HWTARICE1"
"04/2019","R Dainty's Premium Blackcurrant Menthol-3mg","4","DAPGBM03"
"04/2019","R Dainty's Premium Pink Lemonade 10ml-6mg","4","DAPGPL06"
"04/2019","Eco Vape Premium Blackcurrant V2 Flavour-3mg","4","PRPGBL3"
"04/2019","R Dainty's Premium Blueberry 10ml-12mg","4","DAPGBB12"
"04/2019","Dainty's Premium Heizenberg 50/50 80ML-100ml 3.6mg inc PG Nicshot","4","DAPGHB10036PG"
"04/2019","Dainty's Premium Blueberry Blackcurrant Menthol 50/50 80ML-100ml 3.6mg inc PG Nicshot","4","DAPGBBM10036PG"
"04/2019","Dainty's Jelly Babies 10ml-3mg","4","DAPGJB03"
"04/2019","Eco Vape Premium Strawberry &amp; Watermelon V2 Flavour-18mg","4","PRPGSW18"
"04/2019","R Dainty's Premium Strawberry 10ml-6mg","4","DAPGST06"
"04/2019","Dainty's Black Jack 10ml-6mg","4","DAPGBJ06"
"04/2019","Dainty's Blue Slush 10ml-18mg","3","DAPGBS18"
"04/2019","Dainty's Apple 10ml-12mg","3","DAPGAP12"
"04/2019","R Dainty's Premium Cherry Cola 10ml-12mg","3","DAPGCC12"
"04/2019","Dainty's Vanilla Cream Tobacco 50ml-50ml 0mg","3","DAVGVCT00"
"04/2019","Dainty's Premium Vanilla Ice Cream 50/50 80ML-80ml 0mg","3","DAPGVBI0"
"04/2019","Dainty's Premium Pink Lemonade 50/50 80ML-90ml 2mg inc VG Nicshot","3","DAPGPL902VG"
"04/2019","Dainty's Lemon Cola Flavour MAX VG 50ml-50ml 0mg","3","DAVGLC00"
"04/2019","R Dainty's Premium Ice Mint 10ml-3mg","3","DAPGIM03"
"04/2019","Eco Vape Premium Pink Lemonade V2 Flavour-18mg","3","PRPGPI18"
"04/2019","Dainty's Premium Vanilla Ice Cream 50/50 80ML-90ml 2mg inc VG Nicshot","3","DAPGVBI902VG"
"04/2019","R Dainty's Premium Vanilla Ice Cream 10ml-6mg","3","DAPGVBI06"
"04/2019","R Dainty's Premium Strawberry 10ml-3mg","3","DAPGST03"
"04/2019","Dripping Range Blue Slush MAX VG 50ml-50ml 0mg","3","DRBLUESLUSH50MAXVG-50ml 0mg"
"04/2019","Award Winning Eco Vape Milfsmilk V2 Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","3","MILFSMILKMAXVG50ML-60ml 3mg inc PG Nicshot"
"04/2019","Eco Vape Premium Apple &amp; Mango V2 Flavour-3mg","3","PRPGAP3"
"04/2019","Eco Vape Premium Spearmint V2 Flavour-18mg","3","PRPGSP18"
"04/2019","Dainty's Premium Menthol 50/50 80ML-100ml 3.6mg inc VG Nicshot","3","DAPGMT10036VG"
"04/2019","Eco Vape Premium Blackcurrant Menthol V2 Flavour-6mg","3","PRPGBM6"
"04/2019","R Dainty's Premium Peppermint 10ml-6mg","3","DAPGPM06"
"04/2019","Dainty's Premium Foam Banana 50/50 80ML-80ml 0mg","3","DAPGFB0"
"04/2019","R Dainty's Premium Peppermint 10ml-3mg","3","DAPGPM03"
"04/2019","R Dainty's Premium Coffee 10ml-3mg","3","DAPGCO03"
"04/2019","R Dainty's Premium Cola 10ml-6mg","3","DAPGC06"
"04/2019","Dainty's Premium RY4 Caramel Vanilla Tobacco 50/50 80ML-80ml 0mg","3","DAPGRY0"
"04/2019","R Dainty's Premium Melon 10ml-12mg","3","DAPGME12"
"04/2019","Dainty's Premium RY4 Caramel Vanilla Tobacco 50/50 80ML-100ml 3.6mg inc VG Nicshot","3","DAPGRY10036VG"
"04/2019","Dainty's Premium Heizenberg 50/50 80ML-100ml 3.6mg inc VG Nicshot","3","DAPGHB10036VG"
"04/2019","Dainty's Premium Pink Lemonade 50/50 80ML-110ml 4.9mg inc PG Nicshot","3","DAPGPL11049PG"
"04/2019","Dainty's Apple &amp; Mango Flavour MAX VG 50ml-50ml 0mg","3","DAVGAM00"
"04/2019","R Dainty's Premium Banana 10ml-12mg","3","DAPGBA12"
"04/2019","Dainty's Premium Heizenberg 50/50 80ML-110ml 4.9mg inc VG Nicshot","3","DAPGHB11049VG"
"04/2019","Dainty's Strawberry Cheesecake Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","2","DAVGSC60PG3"
"04/2019","Dainty's Strawberry Cheesecake 10ml-6mg","2","DAPGSC06"
"04/2019","Dainty's Apple &amp; Mango Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","2","DAPGAM60PG3"
"04/2019","Eco Vape Premium Rhubarb &amp; Custard Flavour-12mg","2","PRPGRH12"
