"Period","Product Name","Quantity Ordered","Product Sku"
"04/2019","R Dainty's Premium Grape &amp; Blackcurrant 10ml-6mg","2","DAPGGB06"
"04/2019","Award Winning Eco Vape Strawberry Milkshake V2 Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","2","EVSTRAWMILKMAXVG50ML-60ml 3mg inc VG Nicshot"
"04/2019","Psycho Bunny Twister 50ml -60ml 3mg inc VG Nicshot","2","PSVGTW3VG"
"04/2019","R Dainty's Premium Irish Cream 10ml-3mg","2","DAPGIC03"
"04/2019","Dainty's Jelly Babies 10ml-12mg","2","DAPGJB12"
"04/2019","Dainty's Blueberry Blackcurrant Menthol Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","2","DAPGBBM60PG3"
"04/2019","Dripping Range Red Stars Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","2","DRVGRSPG3"
"04/2019","Dainty's Apple Pie Flavours MAX VG 50ml-60ml 3mg inc PG Nicshot","2","DAPGAP60PG3"
"04/2019","Dripping Range Blue Slush MAX VG 50ml-60ml 3mg inc PG Nicshot","2","DRBLUESLUSH50MAXVG-60ml 3mg inc PG Nicshot"
"04/2019","Dainty's Premium Grape &amp; Blackcurrant 50/50 80ML-100ml 3.6mg inc VG Nicshot","2","DAPGGB10036VG"
"04/2019","Dainty's Apple Pie Flavours MAX VG 50ml-60ml 3mg inc VG Nicshot","2","DAVGAP60VG3"
"04/2019","Dainty's Strawberry Cheesecake Flavour MAX VG 50ml-50ml 0mg","2","DAVGSC00"
"04/2019","Psycho Bunny Blue Retro Flavour MAX VG 50ML -60ml 3mg inc VG Nicshot","2","PSVGBL3VG"
"04/2019","Dainty's Premium Menthol 50/50 80ML-90ml 2mg inc VG Nicshot","2","DAPGMT902VG"
"04/2019","Dainty's Heizenberg Flavour MAX VG 50ml-50ml 0mg","2","DAVGHE00"
"04/2019","Dainty's Blueberry Blackcurrant Menthol Flavour MAX VG 50ml-50ml 0mg","2","DAVGBBM00"
"04/2019","Psycho Bunny Melonade Flavour MAX VG 50ML-60ml 3mg inc PG Nicshot","2","PSVGME3PG"
"04/2019","Psycho Bunny Kush Cake Flavour MAX VG 50ML -50ml 0mg","2","PSVGKC0"
"04/2019","Eco Vape Banana Milkshake V2 Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","2","BANMILKV2MAXVG50ML-60ml 3mg inc VG Nicshot"
"04/2019","Dainty's Premium Red Air 50/50 80ML-110ml 4.9mg inc VG Nicshot","2","DAPGRA11049VG"
"04/2019","Dripping Range Blue Slush MAX VG 50ml-60ml 3mg inc VG Nicshot","2","DRBLUESLUSH50MAXVG-60ml 3mg inc VG Nicshot"
"04/2019","Dainty's Black Jack 10ml-18mg","2","DAPGBJ18"
"04/2019","Dainty's Premium RY4 Caramel Vanilla Tobacco 50/50 80ML-90ml 2mg inc PG Nicshot","2","DAPGRY902PG"
"04/2019","Dainty's Bubblegum 10ml-12mg","2","DAPGBU12"
"04/2019","Dainty's Premium Red Air 50/50 80ML-100ml 3.6mg inc PG Nicshot","2","DAPGRA10036PG"
"04/2019","Dainty's Apple 10ml-6mg","2","DAPGAP06"
"04/2019","Dainty's Cola Cube 10ml-6mg","2","DAPGCU06"
"04/2019","R Dainty's Premium Ice Mint 10ml-6mg","2","DAPGIM06"
"04/2019","R Dainty's Premium Fruit Salad 10ml-18mg","2","DAPGFS18"
"04/2019","Dainty's Nic Salts Tobacco 10ml-6mg","2","NSDAPGTO06"
"04/2019","Eco Vape Milfman V2 Milkshake Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","2","MILFMANMAXVG50ML-60ml 3mg inc PG Nicshot"
"04/2019","Dripping Range Vampire Astaire Flavour MAX VG 50ml-50ml 0mg","2","DRVGVA0"
"04/2019","Dainty's Special Menthol 10ml-0mg","2","DAPGSM00"
"04/2019","Dainty's Apple Pie Flavours MAX VG 50ml-50ml 0mg","2","DAVGAPG00"
"04/2019","Dainty's Apple 10ml-18mg","2","DAPGAP18"
"04/2019","Dainty's Fresh Orange 10ml-3mg","2","DAPGFO03"
"04/2019","Psycho Bunny Prism Flavour MAX VG 50ML-60ml 3mg inc VG Nicshot","2","PSVGPR3VG"
"04/2019","Eco Vape Premium Forest Fruits V2 Flavour-6mg","2","PRPGFO6"
"04/2019","Psycho Bunny Twister 50ml -60ml 3mg inc PG Nicshot","2","PSVGTW3PG"
"04/2019","Dainty's Raspberry 10ml-12mg","2","DAPGRS12"
"04/2019","Psycho Bunny Blue Retro Flavour MAX VG 50ML -50ml 0mg","2","PSVGBL0"
"04/2019","Dainty's Cherry Menthol Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","2","DAPGCM60PG3"
"04/2019","Aspire Zelos 50W 2.0 Kit-Blue","2","HWKIASZEBLU2"
"04/2019","Dripping Range Unicorn Blood Flavour 50/50-6mg","2","DRUNICORN5050-6mg"
"04/2019","Dainty's Special Menthol Flavours MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DAVGSM60VG3"
"04/2019","Psycho Bunny Custard Appeal Flavour MAX VG 50ML-60ml 3mg inc PG Nicshot","1","PSVGCU3PG"
"04/2019","R Dainty's Premium Grape &amp; Blackcurrant 10ml-18mg","1","DAPGGB18"
"04/2019","Dripping Range Blackcurrant Lime Soda MAX VG 50ml-50ml 0mg","1","DRVGBLS0"
"04/2019","Dainty's Premium Ice Mint 50/50 80ML-90ml 2mg inc VG Nicshot","1","DAPGIM902VG"
"04/2019","Dainty's Premium Foam Banana 50/50 80ML-100ml 3.6mg inc VG Nicshot","1","DAPGFB10036VG"
"04/2019","Dripping Range Pinkberg Flavour 50/50-3mg","1","DRPINKBERG5050-3mg"
"04/2019","R Dainty's Premium Strawberry 10ml-0mg","1","DAPGST00"
"04/2019","R Dainty's Premium Blueberry 10ml-3mg","1","DAPGBB03"
"04/2019","R Dainty's Premium Orange 10ml-6mg","1","DAPGOR06"
"04/2019","R Dainty's Premium Iron Brew 10ml-6mg","1","DAPGIB06"
"04/2019","Psycho Bunny O.J Flavour MAX VG 50ML -60ml 3mg inc VG Nicshot","1","PSVGOJ3VG"
"04/2019","Dainty's Nic Salts Blueberry and Blackcurrant Menthol 10ml-12mg","1","NSDAPGBBM12"
"04/2019","Psycho Bunny Serial Flavour MAX VG 50ML -50ml 0mg","1","PSVGCE0"
"04/2019","Eco Vape Premium Menthol Flavour-12mg","1","PRPGMT12"
"04/2019","R Dainty's Premium Cherry Cola 10ml-18mg","1","DAPGCC18"
"04/2019","Dripping Range Unicorn Blood Flavour 50/50-12mg","1","DRUNICORN5050-12mg"
"04/2019","Vaptio Paragon C2 Kit-purple","1","HWVAPAPUR"
"04/2019","Aspire Zelos 50W 2.0 Kit-Grey","1","HWKIASZEGRY2"
"04/2019","Dainty's Raspberry 10ml-0mg","1","DAPGRS00"
"04/2019","Dainty's Black Jack 10ml-3mg","1","DAPGBJ03"
"04/2019","R Dainty's Premium Pineapple 10ml-12mg","1","DAPGPI12"
"04/2019","Dainty's Strawberry Cheesecake Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DAVGSC60VG3"
"04/2019","Eco Vape Premium Tutti Fruity V2 Flavour-12mg","1","PRPGTU12"
"04/2019","Rincoe Ceto-Rainbow","1","HWKIRICERNW"
"04/2019","Dripping Range Strawberry Mix Up Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DRVGSMVG3"
"04/2019","Dainty's Special Menthol 10ml-12mg","1","DAPGSM12"
"04/2019","Dainty's Premium Menthol 50/50 80ML-110ml 4.9mg inc VG Nicshot","1","DAPGMT11049VG"
"04/2019","Eco Vape Premium Spearmint V2 Flavour-6mg","1","PRPGSP6"
"04/2019","R Dainty's Premium Mint Chocolate 10ml-12mg","1","DAPGMC12"
"04/2019","R Dainty's Premium Tutti Fruity 10ml-18mg","1","DAPGTF18"
"04/2019","R Dainty's Premium Key Lime Pie 10ml-6mg","1","DAPGKP06"
"04/2019","Vaptio P2 Starter Kit -White","1","P11KIT-White"
"04/2019","Dainty's Blueberry Blackcurrant Menthol Flavour MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DAVGBBM60VG3"
"04/2019","R Dainty's Premium Pineapple 10ml-6mg","1","DAPGPI06"
"04/2019","Canna Cotton","1","HWDIYCANACOT"
"04/2019","Eco Vape Milfman V2 Milkshake Flavour MAX VG 50ml-50ml 0mg","1","MILFMANMAXVG50ML-50ml 0mg"
"04/2019","Psycho Bunny Grapegasm Flavour MAX VG 50ML -50ml 0mg","1","PSVGGR0"
"04/2019","R Dainty's Premium RY4 Tobacco 10ml-0mg","1","DAPGRY00"
"04/2019","Druga Foxy Mod Gunmetal","1","HWMODRFOGU"
"04/2019","R Dainty's Premium Cherry Cola 10ml-6mg","1","DAPGCC06"
"04/2019","Dainty's Bubblegum 10ml-6mg","1","DAPGBU06"
"04/2019","Dainty's Premium Blueberry Blackcurrant Menthol 50/50 80ML-110ml 4.9mg inc VG Nicshot","1","DAPGBBM11049VG"
"04/2019","Dainty's Nic Salts Ice Mint 10ml-12mg","1","NSDAPGIM12"
"04/2019","Dainty's Premium Menthol 50/50 80ML-100ml 3.6mg inc PG Nicshot","1","DAPGMT10036PG"
"04/2019","Dripping Range Blueberg Flavour 50/50-6mg","1","DRBLUEBERG5050-6mg"
"04/2019","Dripping Range Blueberg MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DRPGBL60PG3"
"04/2019","Dainty's Black Jack 10ml-12mg","1","DAPGBJ12"
"04/2019","Psycho Bunny Melonade Flavour MAX VG 50ML-60ml 3mg inc VG Nicshot","1","PSVGME3VG"
"04/2019","Dainty's Raspberry 10ml-18mg","1","DAPGRS18"
"04/2019","Psycho Bunny Custard Appeal Flavour MAX VG 50ML-60ml 3mg inc VG Nicshot","1","PSVGCU3VG"
"04/2019","Dainty's Cola Cube 10ml-12mg","1","DAPGCU12"
"04/2019","Eco Vape Premium Forest Fruits V2 Flavour-3mg","1","PRPGFO3"
"04/2019","Dainty's Premium RY4 Caramel Vanilla Tobacco 50/50 80ML-110ml 4.9mg inc VG Nicshot","1","DAPGRY11049VG"
"04/2019","R Dainty's Premium Cola 10ml-0mg","1","DAPGC00"
"04/2019","R Dainty's Premium Vanilla Ice Cream 10ml-3mg","1","DAPGVBI03"
"04/2019","R Dainty's Premium Tutti Fruity 10ml-6mg","1","DAPGTF06"
"04/2019","Dainty's Nic Salts Special Menthol 10ml-12mg","1","NSDAPGSM12"
"04/2019","Suorin Air Complete Starter Kit-Gold","1","HWKISUAIRGLD"
"04/2019","Dripping Range Strawberry Mix Up Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","1","DRVGSMPG3"
"04/2019","Dainty's Cookie 10ml-18mg","1","DAPGCK18"
"04/2019","Dripping Range Dragon Blood Flavour 50/50-12mg","1","DRDRAGBLOOD5050-12mg"
"04/2019","R Dainty's Premium Red Air 10ml-18mg","1","DAPGRA18"
"04/2019","R Dainty's Premium Peppermint 10ml-0mg","1","DAPGPM00"
"04/2019","R Dainty's Premium Coffee 10ml-18mg","1","DAPGCO18"
"04/2019","Dainty's Premium Foam Banana 50/50 80ML-90ml 2mg inc PG Nicshot","1","DAPGFB902PG"
"04/2019","Dainty's Premium Heizenberg 50/50 80ML-90ml 2mg inc PG Nicshot","1","DAPGHB902PG"
"04/2019","Eco Vape Premium Candyfloss V2 Flavour-6mg","1","PRPGCF6"
"04/2019","Famovape Fat Baby Mesh Coils-Famovape Fat Baby Mesh M15 Coils (0.15Ω)","1","HWCOFVFBM15"
"04/2019","Dripping Range Pinkberg Flavour 50/50-6mg","1","DRPINKBERG5050-6mg"
"04/2019","Dainty's Premium Ice Mint 50/50 80ML-110ml 4.9mg inc VG Nicshot","1","DAPGIM11049VG"
"04/2019","Dripping Range Blue Custard MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DRVGBC60VG3"
"04/2019","Eco Vape Banana Milkshake V2 Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","1","BANMILKV2MAXVG50ML-60ml 3mg inc PG Nicshot"
"04/2019","Vaptio Solo F2 Coil-Vaptio Solo (Pack of 5) F2 X2 Coil (0.25Ω)","1","HWCOVAF2X2"
"04/2019","R Dainty's Premium Apple &amp; Mango 10ml-0mg","1","DAPGAM00"
"04/2019","Dainty's Premium Grape &amp; Blackcurrant 50/50 80ML-90ml 2mg inc VG Nicshot","1","DAPGGB902VG"
"04/2019","R Dainty's Premium Blackcurrant 10ml-6mg","1","DAPGBL06"
"04/2019","Dainty's Nic Salts RY4 10ml-12mg","1","NSDAPGRY12"
"04/2019","Vapor Storm Puma Mod-Black","1","HWMOVSPUPB"
"04/2019","Eco Vape Premium Ice Mint Flavour-6mg","1","PRPGIC6"
"04/2019","R Dainty's Premium Blueberry 10ml-18mg","1","DAPGBB18"
"04/2019","Eco Vape Premium Candyfloss V2 Flavour-12mg","1","PRPGCF12"
"04/2019","R Dainty's Premium Grape &amp; Blackcurrant 10ml-12mg","1","DAPGGB12"
"04/2019","Eco Vape Premium Strawberry &amp; Watermelon V2 Flavour-3mg","1","PRPGSW3"
"04/2019","R Dainty's Premium Melon 10ml-0mg","1","DAPGME00"
"04/2019","Eco Vape Premium Rhubarb &amp; Custard Flavour-6mg","1","PRPGRH6"
"04/2019","Dripping Range Rainbow Sherbert Ice Cream MAX VG 50ml-60ml 3mg inc VG Nicshot","1","DRVGRSVG03"
"04/2019","Dainty's Banana Cake Flavour MAX VG 50ml-50ml 0mg","1","DAVGBC00"
"04/2019","Dainty's Strawberry Cheesecake 10ml-18mg","1","DAPGSC18"
"04/2019","R Dainty's Premium Apple Pie 10ml-6mg","1","DAPGAPI06"
"04/2019","VooPoo Drag 2 177w Kit-Aura","1","HWKIVODR2AU"
"04/2019","Dainty's Heisenberg 10ml-0mg","1","DAPGHB00"
"04/2019","Dainty's Grapefruit 10ml-0mg","1","DAPGGF00"
"04/2019","Dainty's Fresh Orange 10ml-18mg","1","DAPGFO18"
"04/2019","R Dainty's Premium Tutti Fruity 10ml-0mg","1","DAPGTF00"
"04/2019","R Dainty's Premium Cherry 10ml-6mg","1","DAPGCH06"
"04/2019","Vaptio Frogman Coils (PACK OF 5)-W8 (0.15Ω)","1","HWCOVAFR2"
"04/2019","Dainty's Premium Grape &amp; Blackcurrant 50/50 80ML-100ml 3.6mg inc PG Nicshot","1","DAPGGB10036PG"
"04/2019","Dainty's Banana Cake Flavour MAX VG 50ml-60ml 3mg inc PG Nicshot","1","DAPGBC60PG3"
"04/2019","Vaptio Solo 2 Starter Kit-Silver","1","SOLO2KIT-Silver"
"04/2019","Vaptio Solo F2 AIO-Grey","1","HWKIVAF2GRY"
"04/2019","Dainty's Premium Grape &amp; Blackcurrant 50/50 80ML-110ml 4.9mg inc PG Nicshot","1","DAPGGB11049PG"
"04/2019","Dripping Range Blueberg MAX VG 50ml-60ml 3mg inc PG Nicshot","1","DRVGBL0"
"Total","","1524",""
